"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009615","response to virus","203/4770","409/18888",0.496332518337408,1.96535190908951,11.4726084554335,8.02769304899037e-27,5.07591031487661e-23,3.80681654586333e-23,"FGR/POLR3B/ZMYND11/EIF2AK2/TRAF3IP2/POLR3E/TSPAN32/BCL3/NCBP3/NT5C2/EXOSC5/DDX1/PTPRC/OAS1/IRAK3/UNC13D/JAK2/IL12RB1/APOBEC3H/POLR3H/HIF1A/RIOK3/TLR8/FMR1/ACOD1/PYCARD/TRIM35/BNIP3L/LILRB1/URI1/TYK2/CDK6/ITGB8/ZC3HAV1/HSPB1/PSMA2/RIGI/CXCL12/CCL8/DHX58/NFKB1/UNC93B1/IL23A/OAS3/OAS2/HCFC2/TRIM38/IL12B/IFIH1/AUP1/STAT1/ODC1/IVNS1ABP/LGALS8/UAP1/GBP3/GBP1/STMN1/TNFAIP3/CCDC92/TRIM32/IFIT3/IFIT2/GPAM/CLU/AKAP1/TRIM25/TRIM6/NT5C3A/NDUFAF4/NMI/BATF3/ZNFX1/ZBP1/IRF1/IL1B/IRF3/IFI6/TICAM1/APOBEC3A/APOBEC3F/WDFY4/EIF2AK4/ILF3/RAB2B/BST2/SHFL/TRAF3/TRIM21/TRIM5/TRIM22/RSAD2/RPS15A/OASL/IL6/DDX56/TANK/USP20/NCBP1/TLR2/DDX60/CASP1/IFI44L/IFI44/PPM1B/PARP9/HERC5/CXCL9/TARBP2/DUOX2/PML/ITGAX/ARMC5/NLRC5/TRIM65/PMAIP1/IFITM3/IFNAR1/XPR1/ATG12/TRIM41/IFIT5/TOMM70/TRIM11/GBP5/MOV10/MX1/NCK1/IFNAR2/IFNGR2/MORC3/RRP1B/ADAR/SAP30BP/JAK1/GBP2/NLRP3/AZI2/IFI16/AIM2/DTX3L/ZC3H12A/IL15/SERINC5/TLR3/CGAS/DDX21/IFI27/SMAD3/PHB1/DUS2/DDIT4/IRF2/MLKL/CXCL10/SIN3A/RNASE6/TRIM56/STAT2/BCL2L1/ISG20/SLFN11/CCL19/MYD88/RELA/BANF1/BNIP3/IL17RA/PRKRA/DDX60L/MX2/TBK1/USP18/IFITM2/MAPK11/IFNLR1/IFIT1/IFITM1/POLR3C/ISG15/CARD9/PLSCR1/IL27/SPN/ATG7/ATAD3A/IFIT1B/MICA/GBP7/TREX1/IRF9/DDX3X/IRGM/APOBEC3G/IL10RB/APOBEC3D/ZCCHC3/EEF1G/TRIM34/MMP12/IKBKE/CCL5/CCL4",203
"GO:0051607","defense response to virus","160/4770","307/18888",0.521172638436482,2.06371253559503,10.922272669624,3.04497875026851e-24,9.6267003189739e-21,7.21980487892613e-21,"POLR3B/ZMYND11/EIF2AK2/TRAF3IP2/POLR3E/TSPAN32/NCBP3/NT5C2/EXOSC5/DDX1/PTPRC/OAS1/UNC13D/IL12RB1/APOBEC3H/POLR3H/RIOK3/TLR8/ACOD1/PYCARD/TRIM35/BNIP3L/LILRB1/ZC3HAV1/RIGI/DHX58/UNC93B1/IL23A/OAS3/OAS2/HCFC2/TRIM38/IL12B/IFIH1/STAT1/UAP1/GBP3/GBP1/TNFAIP3/CCDC92/TRIM32/IFIT3/IFIT2/GPAM/AKAP1/TRIM25/TRIM6/NT5C3A/NDUFAF4/ZNFX1/ZBP1/IRF1/IL1B/IRF3/IFI6/TICAM1/APOBEC3A/APOBEC3F/EIF2AK4/ILF3/RAB2B/BST2/SHFL/TRAF3/TRIM21/TRIM5/TRIM22/RSAD2/OASL/IL6/DDX56/TANK/USP20/NCBP1/TLR2/DDX60/CASP1/IFI44L/PPM1B/PARP9/HERC5/CXCL9/TARBP2/PML/ITGAX/ARMC5/NLRC5/TRIM65/PMAIP1/IFITM3/ATG12/TRIM41/IFIT5/TOMM70/TRIM11/GBP5/MOV10/MX1/NCK1/IFNAR2/IFNGR2/MORC3/ADAR/GBP2/AZI2/IFI16/AIM2/DTX3L/ZC3H12A/IL15/SERINC5/TLR3/CGAS/DDX21/IFI27/PHB1/DUS2/DDIT4/IRF2/MLKL/CXCL10/SIN3A/RNASE6/TRIM56/STAT2/BCL2L1/ISG20/SLFN11/MYD88/RELA/BNIP3/DDX60L/MX2/TBK1/USP18/IFITM2/IFNLR1/IFIT1/IFITM1/POLR3C/ISG15/CARD9/PLSCR1/IL27/SPN/ATG7/ATAD3A/IFIT1B/MICA/GBP7/TREX1/IRF9/IRGM/APOBEC3G/IL10RB/APOBEC3D/ZCCHC3/TRIM34/MMP12/IKBKE",160
"GO:0001819","positive regulation of cytokine production","209/4770","500/18888",0.418,1.6551748427673,8.63036291655343,1.91583711171411e-16,4.03794601912277e-13,3.02836708360423e-13,"FGR/POLR3B/HGF/BTN3A1/EIF2AK2/SPHK2/CASP8/CD84/BCL3/RORA/FCGR2B/PANX2/PTGS2/IL4R/DDX1/PSEN1/PTPRC/PIBF1/OAS1/IRAK3/TREM2/JAK2/IL12RB1/DDT/OSM/HIF1A/RIOK3/TLR8/RGCC/SLC7A5/MEFV/PYCARD/CD276/RIPK2/IL7/LILRB1/EBI3/PRKD2/TGFB1/TYK2/PIK3CG/ZC3HAV1/NOD1/HSPB1/RIGI/CCL1/DHX58/KAT2A/CRTAM/UNC93B1/PANX1/MDK/IL23A/OAS3/OAS2/IL12B/PDE4D/CD86/WNT5A/FOXP1/IL1A/IFIH1/SPTBN1/STAT1/IL1R1/ARHGEF2/CD58/SLAMF1/UAP1/F3/TRIM32/NR4A3/CD274/EGR1/CLU/TNFRSF8/TRIM6/CD80/LY9/TWIST1/ARFGEF2/EREG/IRF1/IL1B/FFAR2/CCR7/IRF3/TRAF2/TICAM1/ATF4/RAB2B/LBP/AKAP12/LILRB2/IDO1/TRAF3/RFTN1/EPHB2/RSAD2/IL6ST/ANXA1/HAVCR2/CD36/HTR2B/IL6/TANK/IRF4/RIPK1/TLR2/SULF1/SORL1/CASP1/THBS1/RAB1A/TRIM65/FCGR2A/ARNT/HSPD1/PIK3R1/TSLP/PTPRJ/CD226/IL18/ADAM8/ADAM17/CEBPG/MCOLN2/TOMM70/GBP5/BATF/MAPK13/APPL1/FCER1G/RUNX1/IL6R/NLRP3/SLAMF6/IFI16/AIM2/RBM47/IL15/TLR3/CGAS/RAD21/SYK/STOML2/DDX21/SERPINB7/CLEC4E/B2M/SMAD3/PHB1/NOD2/STAT3/PTAFR/TRIM56/ADORA2B/CD14/PTGER4/C3AR1/CEBPB/IL16/RASGRP1/CCL19/MYD88/RELA/HPSE/HEG1/STAT5B/HRAS/LPL/SPHK1/IL17RA/ATP6AP2/CCBE1/TBK1/IRAK1/PDE4B/TMEM106A/MAPK11/FFAR3/POLR3C/BTN3A2/LILRA5/ISG15/CARD9/ZP3/LRRK2/S100A13/CD55/ARID5A/IL27/PELI1/SPN/MBP/SCAMP5/FCGR3A/CLEC6A/HLA-A/GPSM3/DDX3X/TRIM16/NFAM1/TICAM2/ZCCHC3/MMP12/IKBKE/RAB7B/CRLF2",209
"GO:0042254","ribosome biogenesis","146/4770","319/18888",0.457680250783699,1.81229865341772,8.5049332138057,1.01473921908964e-15,1.36775855905548e-12,1.02578761056876e-12,"LAS1L/TSR3/LSG1/NOP16/RRP12/MRTO4/NOP58/USP36/WDR3/WDR18/RRP15/NLE1/EXOSC7/EXOSC5/RPS5/WBP11/DIMT1/NOP14/ESF1/RPLP0/PES1/SNU13/CINP/NOP56/RBFA/RIOK3/ERCC2/GRWD1/DDX49/NPM3/GTPBP4/UTP6/GAR1/RPS13/NOP2/MDN1/RPS12/BYSL/BRIX1/RRP9/ZNHIT6/EBNA1BP2/ERI3/FASTKD2/HEATR1/RCL1/UTP20/GTF3A/MRPS2/RPL5/MRM2/DDX27/RIOK1/RPP40/MRPS7/DDX31/EMG1/GNL3L/PPAN/DKC1/RPL27/RAN/MYBBP1A/NIP7/RPS15A/WDR36/NAT10/LTV1/URB2/GLUL/PWP1/DDX56/RPL35/RPS24/METTL5/WDR12/EFL1/UTP4/NOB1/URB1/ZNF593/RPS8/METTL25B/EIF2A/LYAR/NHP2/RPL7/PDCD11/HEATR3/NIFK/MTERF3/UTP14A/EIF5B/RRP1B/RRP1/RPL26/TFB2M/WDR43/ABCE1/UTP15/DCAF13/NOL6/TSC1/DDX21/BMS1/METTL17/RPUSD2/NOLC1/POP5/TSR1/RPSA/ZCCHC4/NMD3/PA2G4/CHD7/RPS21/RPS7/ISG20/EIF1AX/DDX10/NSUN3/RPP25/RRS1/GEMIN4/NPM1/RPS17/DDX28/UTP11/RPS23/RPL14/NOC2L/RPF2/RPS4X/MAK16/RPL23A/SDAD1/RPL10A/DDX3X/NSUN5P1/WDR46/RPS28/PWP2/MRPL20/PRKDC/FDXACB1/BOP1",146
"GO:0045088","regulation of innate immune response","187/4770","440/18888",0.425,1.68289308176101,8.42477861102666,1.08157406219791e-15,1.36775855905548e-12,1.02578761056876e-12,"FGR/CFH/SARM1/CREBBP/MARK4/FYN/POLR3B/BIRC3/TNIP3/EIF2AK2/CASP8/IPO5/IFI35/FCGR2B/PVR/GRAMD4/LRCH4/CYLD/OAS1/LAG3/IRAK3/TREM2/TTLL12/EP300/NFKBIA/HCK/RNF125/RIOK3/TLR8/ACOD1/N4BP1/MEFV/PYCARD/RIPK2/LILRB1/TGFB1/TAX1BP1/NOD1/RIGI/DHX58/NAGLU/CRTAM/HSPA8/DTX4/UNC93B1/BIRC2/OAS3/PTPN6/HCFC2/IL12B/WNT5A/MAPKAPK3/IFIH1/NFE2L2/TRIM62/TNFAIP3/TRIM32/SLC46A2/CD274/TASL/RNF170/TRIM25/TRIM6/NMI/ZNFX1/ZBP1/EREG/IRF1/FFAR2/IRF3/TICAM1/LBP/ECSIT/NECTIN2/TRAF3/RFTN1/NINJ1/TRIM21/PPARG/TRIM5/IRAK2/RSAD2/HAVCR2/OASL/TRAFD1/CD36/USP15/EIF4E2/APPL2/IRF4/TLR2/DDX60/CASP1/PARP9/TARBP2/NLRC5/DUSP10/S100A8/HSPD1/NFKBIZ/LYAR/PIK3R1/ATG12/TNIP1/TRIM41/MFHAS1/SERPING1/CD226/NEK7/ADAM8/TOMM70/TRIM11/GBP5/PIK3AP1/APPL1/NCF1/NLRX1/ADAR/LRRC14/SQSTM1/GBP2/NLRP3/SLAMF6/S100A9/IFI16/AIM2/RBM47/ERAP1/TLR3/CGAS/SYK/CLEC4E/PHB1/NOD2/TNIP2/SIN3A/TRIM56/CD14/SERPINB9/STAT2/RNF34/FPR2/PRKCE/TMEM126A/RASGRP1/MYD88/RELA/PARP14/STAT5B/BANF1/PTPN2/NPLOC4/TBK1/IRAK1/USP18/BRCC3/POLR3C/ZNRF1/HEXIM1/ISG15/CARD9/TREML4/PLSCR1/PTPN1/PELI1/IRAK4/GPATCH3/MICA/LGR4/CLEC6A/SERPINB4/HLA-A/TREX1/DDX3X/CPTP/IRGM/TICAM2/ZCCHC3/PRKDC/LYN/TRIL/MMP12/IKBKE/CCL5/PIK3R6/RAB7B/MATR3",187
"GO:0007249","canonical NF-kappaB signal transduction","142/4770","311/18888",0.456591639871383,1.80798802806932,8.35124876928536,3.19365639639914e-15,3.36558156573862e-12,2.52410913434704e-12,"CASP10/CFLAR/PPP5C/ZMYND11/ATP2C1/BIRC3/TNIP3/CUL1/TRAF1/TRAF3IP2/SPHK2/CASP8/TNFRSF1A/ROCK1/BCL3/RORA/HACD3/TRAF4/NFKB2/EDN1/DDX1/TRAF5/ERC1/FKBP1A/RNF31/TREM2/EP300/NFKBIA/CD40/RIOK3/TLR8/TRADD/NFAT5/PYCARD/RIPK2/RELB/TGFB1/NOD1/HSPB1/NFKB1/BIRC2/TRIM38/VEGFA/WNT5A/TFG/IL1A/STAT1/TRIM62/TNFAIP3/TRIM32/TRIM25/TRIM6/TNFSF10/OPTN/IL1B/RBCK1/CCR7/IRF3/TRAF2/TICAM1/APOL3/SLC44A2/BST2/TRAF3/TRIM21/TRIM5/TRIM22/FLOT2/IRAK2/CD36/HTR2B/TANK/USP20/RIPK1/TLR2/CASP1/PPM1B/SLC39A8/PELI2/SECTM1/BRD4/SLC20A1/PLK2/TNIP1/ADAM8/IFIT5/TAB3/NLRX1/SQSTM1/JMJD8/REL/S100A12/AZI2/ZC3H12A/SNIP1/SHISA5/TLR3/DDX21/ILK/PRKCB/CLEC4D/TERF2IP/NOD2/NKIRAS2/RHOH/TNIP2/AKAP13/PRKCE/CANT1/PRL/CCL19/MYD88/RELA/TMEM9B/ZDHHC13/SHARPIN/TBK1/IRAK1/TMEM106A/ROR1/ZDHHC17/CARD9/S100A13/S100A4/TLE1/FLNA/PELI1/IRAK4/SIRPA/LPAR1/MIER1/MAP3K3/CARD16/CLEC6A/NUP62/GBP7/UBD/IRGM/TICAM2/TRIM34/IKBKE/OTUD7B",142
"GO:0002757","immune response-activating signaling pathway","201/4770","500/18888",0.402,1.59181886792453,7.79579934644498,7.85606761850191e-14,7.09627365025536e-11,5.32204280020317e-11,"FGR/SARM1/CD38/CREBBP/MARK4/FYN/CD22/BIRC3/BTN3A1/PRKCH/STAP1/LCP2/TNIP3/BCAR1/PHPT1/EIF2AK2/RC3H2/IPO5/IFI35/EIF2B3/FCGR2B/GRAMD4/FOSL2/LRCH4/PSEN1/PTPRC/CYLD/OAS1/IRAK3/SPG21/RNF31/TREM2/EP300/NFKBIA/HCK/RNF125/RIOK3/TLR8/ACOD1/MEFV/PYCARD/CD276/RIPK2/KCNN4/PRKD2/TAX1BP1/NOD1/LIMK1/RIGI/SHB/LIPA/DHX58/NAGLU/NFKB1/HSPA8/UNC93B1/BIRC2/OAS3/PTPN6/HCFC2/BTN3A3/DUSP22/PDE4D/MAPKAPK3/FOXP1/IFIH1/GBP1/RAB29/TNFAIP3/TRIM32/SLC46A2/NR4A3/CD274/TASL/ELF1/RNF170/TRIM25/NMI/PLCG1/BTN2A2/IRF1/RBCK1/FFAR2/CCR7/IRF3/TICAM1/PLD2/LBP/ECSIT/NECTIN2/THEMIS2/TRAF3/RFTN1/NINJ1/LGALS3/PRAM1/IRAK2/RSAD2/HAVCR2/OASL/CD36/USP15/APPL2/MYO1G/IRF4/TLR2/DDX60/CASP1/TARBP2/S100A8/HSPD1/NFKBIZ/PIK3R1/TNIP1/TNFRSF21/MFHAS1/PTPRJ/CD226/NEK7/TRIM11/GBP5/PIK3AP1/APPL1/BRAF/SPPL3/FCER1G/VAV2/NLRX1/LRRC14/SQSTM1/GBP2/NLRP3/FCMR/S100A9/AIM2/ZC3H12A/PRKCD/ERMAP/TLR3/CGAS/SYK/STOML2/PRKCB/CLEC4E/PHB1/NOD2/CACNB3/TNIP2/ITGAM/CD14/RNF34/FPR2/FPR1/PRKCE/TMEM126A/C3AR1/MYD88/RELA/CMKLR1/HRAS/BANF1/PTPN2/CD19/GRB2/NPLOC4/TBK1/IRAK1/PDE4B/BRCC3/ZNRF1/BTN3A2/FPR3/TREML4/PLSCR1/CD47/ADA/SLC39A10/PELI1/IRAK4/CD2AP/GPATCH3/CD247/PLPP4/LGR4/CLEC6A/HLA-A/IGKC/TRGC1/TREX1/DDX3X/CPTP/TRGC2/NFAM1/IRGM/TICAM2/ZCCHC3/PRKDC/LYN/TRIL/RAB7B/TRAC",201
"GO:0043122","regulation of canonical NF-kappaB signal transduction","129/4770","286/18888",0.451048951048951,1.78604037471962,7.78578024393211,1.79199921210897e-13,1.41635137727063e-10,1.06223111191459e-10,"CASP10/CFLAR/PPP5C/ZMYND11/ATP2C1/BIRC3/TNIP3/CUL1/TRAF1/TRAF3IP2/SPHK2/CASP8/TNFRSF1A/RORA/TRAF4/EDN1/DDX1/TRAF5/FKBP1A/RNF31/TREM2/NFKBIA/CD40/RIOK3/TRADD/NFAT5/PYCARD/RIPK2/TGFB1/NOD1/HSPB1/BIRC2/TRIM38/VEGFA/WNT5A/TFG/IL1A/STAT1/TRIM62/TNFAIP3/TRIM32/TRIM25/TRIM6/TNFSF10/OPTN/IL1B/RBCK1/CCR7/IRF3/TRAF2/TICAM1/APOL3/SLC44A2/BST2/TRAF3/TRIM21/TRIM5/TRIM22/FLOT2/CD36/HTR2B/TANK/USP20/RIPK1/CASP1/PPM1B/SLC39A8/PELI2/SECTM1/BRD4/SLC20A1/PLK2/TNIP1/IFIT5/TAB3/NLRX1/SQSTM1/JMJD8/REL/S100A12/AZI2/ZC3H12A/SNIP1/SHISA5/TLR3/DDX21/ILK/PRKCB/CLEC4D/TERF2IP/NOD2/NKIRAS2/RHOH/TNIP2/AKAP13/PRKCE/CANT1/PRL/CCL19/MYD88/RELA/TMEM9B/ZDHHC13/SHARPIN/TBK1/IRAK1/TMEM106A/ROR1/ZDHHC17/CARD9/S100A13/S100A4/TLE1/FLNA/PELI1/IRAK4/LPAR1/MIER1/MAP3K3/CARD16/CLEC6A/NUP62/GBP7/UBD/IRGM/TICAM2/TRIM34/IKBKE/OTUD7B",129
"GO:0022613","ribonucleoprotein complex biogenesis","198/4770","499/18888",0.396793587174349,1.57120278292434,7.51649931095329,5.2276243269252e-13,3.67269651323867e-10,2.75443831494714e-10,"LAS1L/RBM5/GCFC2/TSR3/STRAP/LSG1/NOP16/RRP12/MRTO4/NOP58/USP36/WDR3/WDR18/RRP15/NLE1/SART3/EXOSC7/EXOSC5/DDX1/NUFIP1/RPS5/WBP11/DIMT1/NOP14/ESF1/RPLP0/AGO1/SRPK1/HSP90AB1/PES1/EIF3L/SNU13/PRMT5/SRSF5/CINP/NOP56/RBFA/RIOK3/MCTS2/ERCC2/YJU2/GRWD1/DDX49/EIF3B/EIF3A/NPM3/GTPBP4/UTP6/GAR1/PRPF19/RPS13/NOP2/MDN1/RPS12/BYSL/BRIX1/RRP9/WDR77/ZNHIT6/PRPF3/EBNA1BP2/ERI3/RSRP1/FASTKD2/HEATR1/RCL1/UTP20/GTF3A/MRPS2/RPL5/MRM2/SRSF6/DDX27/RIOK1/RPP40/MRPS7/DDX31/SNRPD2/EMG1/GNL3L/LSM4/PPAN/DKC1/RPL27/RAN/MYBBP1A/NIP7/RPS15A/WDR36/SRPK2/NAT10/LTV1/URB2/GLUL/PWP1/DDX56/NCBP1/RPL35/TGS1/RPS24/METTL5/WDR12/SNRPF/TARBP2/CELF6/EFL1/NOL3/UTP4/NOB1/TXNL4A/URB1/ZNF593/RPS8/METTL25B/EIF2D/EIF2A/LYAR/NHP2/RPL7/PDCD11/CELF1/CPSF7/SRSF12/HEATR3/NIFK/MTERF3/UTP14A/EIF5B/RRP1B/RRP1/ADAR/RPL26/TFB2M/WDR43/SNIP1/ABCE1/UTP15/SLU7/DCAF13/PSIP1/NOL6/TSC1/DDX21/BMS1/METTL17/RPUSD2/NOLC1/SNRPD1/POP5/TSR1/RPSA/ZCCHC4/CD2BP2/NMD3/SF3B5/PA2G4/CHD7/RPS21/RPS7/ISG20/EIF1AX/DDX23/DDX10/NSUN3/RPP25/RRS1/GEMIN4/PRKRA/NPM1/RPS17/DDX28/RUVBL2/UTP11/EIF3C/EIF3CL/RPS23/RPL14/NOC2L/SF3B3/RPF2/RPS4X/MAK16/RPL23A/SDAD1/RPL10A/LSM2/DDX3X/NSUN5P1/WDR46/MCTS1/RPS28/RAMACL/PWP2/MRPL20/PRKDC/FDXACB1/BOP1/TAF9",198
"GO:0045089","positive regulation of innate immune response","154/4770","365/18888",0.421917808219178,1.67068837770311,7.52082771890138,7.46436652839287e-13,4.71971895590281e-10,3.53968118004315e-10,"SARM1/CREBBP/MARK4/FYN/POLR3B/BIRC3/TNIP3/EIF2AK2/IPO5/IFI35/PVR/GRAMD4/LRCH4/CYLD/OAS1/LAG3/IRAK3/TREM2/EP300/NFKBIA/HCK/RNF125/RIOK3/TLR8/ACOD1/MEFV/PYCARD/RIPK2/TAX1BP1/NOD1/RIGI/DHX58/NAGLU/CRTAM/HSPA8/UNC93B1/BIRC2/OAS3/HCFC2/IL12B/WNT5A/MAPKAPK3/IFIH1/TRIM62/TNFAIP3/TRIM32/SLC46A2/CD274/TASL/RNF170/TRIM25/TRIM6/NMI/ZNFX1/ZBP1/EREG/IRF1/FFAR2/IRF3/TICAM1/LBP/ECSIT/NECTIN2/TRAF3/RFTN1/NINJ1/TRIM5/IRAK2/RSAD2/HAVCR2/OASL/CD36/USP15/APPL2/IRF4/TLR2/DDX60/CASP1/PARP9/TARBP2/NLRC5/S100A8/HSPD1/NFKBIZ/PIK3R1/TNIP1/TRIM41/MFHAS1/CD226/NEK7/ADAM8/TOMM70/TRIM11/GBP5/PIK3AP1/APPL1/NLRX1/LRRC14/SQSTM1/GBP2/NLRP3/SLAMF6/S100A9/IFI16/AIM2/RBM47/TLR3/CGAS/SYK/CLEC4E/PHB1/NOD2/TNIP2/SIN3A/TRIM56/CD14/RNF34/FPR2/PRKCE/TMEM126A/RASGRP1/MYD88/RELA/STAT5B/BANF1/NPLOC4/TBK1/IRAK1/BRCC3/POLR3C/ZNRF1/HEXIM1/CARD9/TREML4/PLSCR1/PELI1/IRAK4/GPATCH3/LGR4/CLEC6A/TREX1/DDX3X/CPTP/IRGM/TICAM2/ZCCHC3/PRKDC/LYN/TRIL/MMP12/IKBKE/CCL5/RAB7B/MATR3",154
