"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","110/2420","238/8546",0.46218487394958,1.63216195569137,6.216469551173,2.02718067766513e-09,7.05458875827467e-07,5.01460483422428e-07,"EIF2AK2/TNFRSF1A/RPS5/OAS1/RPLP0/RPL3/NFKBIA/TLR8/TYK2/RIGI/RPL19/CSF3/CCL2/NFKB1/RPS13/VWF/OAS3/OAS2/RPS12/IL12B/C9/IFIH1/STAT1/RPL22/RPL21/RPL5/PLCG1/F13A1/RPS10/IL1B/IRF3/PRKCG/TRAF3/RPL27/IL6ST/RPS15A/IL6/RPL35/TLR2/CASP1/RPLP1/RPS24/IFNAR1/RPS8/FCGR2A/RPL32/AGTR1/PIK3R1/RPL7/ADAM17/PRKCA/MAPK13/MX1/IFNAR2/C1QC/ACE/ADAR/IL6R/RPL8/RPL26/RPL29/JAK1/NLRP3/RPL22L1/TLR3/CGAS/SYK/C2/RPL27A/PRKCB/RPL13/RPSA/STAT3/CXCL10/CXCL8/STAT2/RPS21/C3AR1/RPS7/MYD88/RELA/C1QB/C1QA/RPL4/RPLP2/JUN/C1S/RPS17/MX2/TBK1/IRAK1/MAPK11/RPS23/ISG15/RPL14/RPL12/IRAK4/RPS4X/RPL23A/RPL10A/RPL39/RPS29/IRF9/C4B/RPS18/RPS28/RPL36A/CFB/RPL36A-HNRNPH2/IKBKE",110
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","91/2420","189/8546",0.481481481481481,1.70030609121518,6.1188361681241,4.18505033414237e-09,7.28198758140772e-07,5.17624646591293e-07,"BIRC3/CASP8/CXCL2/TRAF5/TRIP6/OAS1/RNF31/HSP90AB1/ITPR3/TXN2/NFKBIA/PLCB4/MAP1LC3A/MEFV/PYCARD/RIPK2/TYK2/NAMPT/NOD1/CCL2/NFKB1/PANX1/BIRC2/OAS3/OAS2/STAT1/MFN2/GBP3/GBP1/TNFAIP3/ITPR2/IL1B/RBCK1/IRF3/TRAF2/TICAM1/TRAF3/CARD6/IL6/TANK/TXN/RIPK1/CASP1/CASP5/PLCB2/GABARAPL1/IFNAR1/ATG12/IL18/NEK7/GBP5/MCU/MAPK13/TAB3/IFNAR2/NLRX1/JAK1/GBP2/GBP4/NLRP3/ANTXR2/IFI16/AIM2/CXCL3/CXCL1/PRKCD/NOD2/CXCL8/ANTXR1/STAT2/BCL2L1/MYD88/RELA/JUN/SHARPIN/TBK1/MAPK11/BRCC3/TRPV2/CARD9/CASP4/IRAK4/CARD16/GBP7/VDAC1/GPSM3/IRF9/IRGM/IKBKE/TXNIP/CCL5",91
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","56/2420","105/8546",0.533333333333333,1.88341597796143,5.7245080387431,5.21969781257878e-08,6.05484946259138e-06,4.30396135423162e-06,"CFLAR/BIRC3/TRAF1/TNFRSF1A/PTGS2/NFKB2/CXCL2/TRAF5/ERC1/CYLD/ICAM1/GADD45B/NFKBIA/CD40/CSNK2A1/TNFSF13B/TRADD/RELB/PPP1R13L/RIGI/CXCL12/NFKB1/BIRC2/IL1R1/GADD45A/TNFAIP3/TRIM25/PLCG1/IL1B/TNFSF14/TRAF2/TICAM1/LBP/TRAF3/RIPK1/CARD14/TNFRSF11A/TAB3/TNFRSF13C/CXCL3/CXCL1/SYK/PRKCB/CXCL8/CD14/BCL2L1/CCL19/MYD88/RELA/CCL13/IRAK1/EDARADD/IRAK4/TICAM2/LYN/CCL4",56
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","61/2420","119/8546",0.512605042016807,1.81021598722133,5.59387828468647,9.12772761630812e-08,7.94112302618807e-06,5.6447789206116e-06,"CASP10/CFLAR/RHBDF1/BIRC3/FAS/TRAF1/CASP8/TNFRSF1A/BCL3/PTGS2/EDN1/CXCL2/TRAF5/CYLD/ICAM1/RPS6KA5/NFKBIA/TRADD/CREB3/MAP3K8/CCL2/NFKB1/BIRC2/CCL20/AKT3/CREB1/TNFAIP3/CXCL6/IRF1/IL1B/TRAF2/ATF4/RHBDF2/TRAF3/IL6/RIPK1/PIK3R1/ADAM17/MAPK13/MMP14/TAB3/RPS6KA4/CXCL3/CXCL5/CXCL1/IL15/CASP3/CASP7/NOD2/MLKL/CXCL10/JUNB/CEBPB/RELA/JUN/CREB3L2/CSF1/SOCS3/MAPK11/PGAM5/CCL5",61
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","82/2420","182/8546",0.450549450549451,1.59107256379984,5.06576108097972,8.66053525356133e-07,6.02773253647868e-05,4.28468586228824e-05,"BID/BIRC3/FAS/EIF2AK2/CASP8/SP100/TNFRSF1A/EIF2B3/TRAF5/PILRA/OAS1/SRPK1/JAK2/SRSF5/NFKBIA/TRADD/TYK2/ZC3HAV1/RIGI/CCL2/NFKB1/BIRC2/OAS3/OAS2/HCFC2/IL12B/IFIH1/STAT1/SRSF7/SRSF4/AKT3/PILRB/SRSF6/IL1B/TNFSF14/IRF3/CFP/TRAF2/TICAM1/EIF2AK4/NECTIN2/BST2/TRAF3/IL6/TLR2/PML/IFNAR1/POU2F1/PIK3R1/IFNAR2/IFNGR2/SRSF2/ITGA5/NXF1/JAK1/CASP3/TLR3/CGAS/SYK/TSC1/B2M/TAP1/STAT2/BCL2L1/CYCS/PPP1CA/MYD88/RELA/ALYREF/TBK1/IRAK1/SOCS3/CARD9/EIF4EBP1/IRAK4/TAP2/HLA-A/PPP1CB/IRF9/HLA-DOB/IKBKE/CCL5",82
"Human Diseases","Infectious disease: viral","hsa05162","Measles","66/2420","139/8546",0.474820143884892,1.67678221059516,5.05604617256248,1.059685801444e-06,6.14617764837521e-05,4.36888005858492e-05,"BID/FAS/EIF2AK2/CASP8/FCGR2B/TP73/OAS1/CD209/IL2RB/NFKBIA/CSNK2A1/TRADD/BBC3/TYK2/JAK3/CDK6/RIGI/NFKB1/HSPA8/CCND1/CDKN1B/OAS3/OAS2/IL12B/IL1A/IFIH1/STAT1/AKT3/SLAMF1/TNFAIP3/CCND2/RAB9A/IL1B/IRF3/STAT5A/EIF2AK4/TRAF3/IL2RA/CDK4/IL6/TLR2/IFNAR1/PIK3R1/MX1/IFNAR2/ADAR/JAK1/RCHY1/CASP3/STAT3/STAT2/BCL2L1/CYCS/MYD88/RELA/HSPA6/STAT5B/CCNE2/JUN/MX2/TBK1/IRAK1/IRAK4/RACK1/IRF9/IKBKE",66
"Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","89/2420","205/8546",0.434146341463415,1.53314654303568,4.8561231048951,2.10641396362562e-06,0.000104718865620245,7.44371851807552e-05,"NDUFAB1/SLC25A5/CAMK2B/MPC1/PDK3/NDUFB2/ATP5F1D/NDUFB7/PLCB4/GSR/GYS1/TGFB1/TGFBR1/PPIF/COL1A1/NFKB1/NDUFS8/ATP5F1B/NDUFS7/ATP5PB/AKT3/SDHB/SLC2A1/PTPA/ATP5F1E/PRKCG/RAC2/NDUFA5/NDUFA10/COX7B/GFPT2/PDHA1/CD36/ATP5MC2/TBC1D4/RAC1/PLCB2/UQCRC2/MPC2/SDHC/AGTR1/CAMK2D/NDUFS6/PIK3R1/NDUFB9/ATP5F1A/PRKCA/ATP5MC3/ATP5PF/MAPK13/NCF1/ATP5MC1/ACE/NDUFV3/PRKCD/UQCRQ/NDUFB6/ATP5F1C/PRKCB/SMAD3/NDUFV1/NDUFS5/IRS1/PTEN/PPP1CA/RELA/UQCRH/COX8A/COX5A/CYC1/UQCR10/MAPK11/NDUFA4L2/CYTB/ND2/ND5/ND4/ND1/ATP6/COX3/SDHD/CPT1B/ND4L/VDAC1/NDUFS3/PPP1CB/ATP8/ATP5PO/SLC25A6",89
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","32/2420","56/8546",0.571428571428571,2.01794569067296,4.80330314777513,5.55999726413575e-06,0.000241859880989905,0.000171920968035776,"CLK1/CASP8/NFKB2/CXCL2/BCL2L13/NFKBIA/PYCARD/NFKB1/HSPA8/IL12B/IL1B/IL6/TLR2/CASP1/RAB1A/HSPD1/IL18/CXCL3/CXCL1/CASP3/CASP7/CXCL8/ITGAM/CD14/CYCS/MYD88/RELA/HSPA6/BNIP3/CR1L/EEF1G/SEC22B",32
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","51/2420","105/8546",0.485714285714286,1.71525383707202,4.63482260023077,7.8024320895966e-06,0.000301694040797735,0.000214452811819322,"CASP8/BCL3/NFATC3/PTGS2/NFKB2/CYLD/CD209/ITPR3/NFKBIA/CCL17/PYCARD/RELB/NFKB1/IL23A/IL12B/STAT1/AKT3/PPP3CC/EGR2/ITPR2/IRF1/IL1B/RRAS/LSP1/RAF1/RRAS2/MDM2/IL6/CASP1/KSR1/CALM2/PIK3R1/MAPK13/MRAS/FCER1G/CALM3/NLRP3/PRKCD/SYK/CLEC4E/CLEC4D/STAT2/RELA/PLK3/HRAS/JUN/MAPK11/CARD9/CLEC6A/IRF9/IKBKE",51
"Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","96/2420","235/8546",0.408510638297872,1.44261649375769,4.32424312684821,1.92520211745867e-05,0.000669970336875617,0.000476234208002934,"NDUFAB1/COX10/ARID1B/SMARCD1/ACSL4/RPS6KA2/FGFR1/GNAS/NDUFB2/ATP5F1D/NDUFB7/ZNF516/COA1/CREB3/RPS6KB1/NDUFS8/ATP5F1B/NDUFS7/KDM3A/ATP5PB/SDHB/ARID1A/CREB1/NDUFAF4/ATP5F1E/NDUFA5/NDUFA10/COX7B/PPARG/PRKAA1/ATP5MC2/ACTL6A/ADCY3/UQCRC2/PRKACB/SDHC/NDUFS6/NDUFB9/ACSL1/ATP5F1A/ATP5MC3/ATP5PF/ADCY8/NDUFAF6/MAPK13/ATP5MC1/NDUFV3/ADCY9/COA7/COX18/NDUFAF2/UQCRQ/ADCY1/NDUFB6/ATP5F1C/TSC1/COX11/NDUFV1/MLST8/NDUFS5/ATP5ME/NPR1/SMARCC1/UQCRH/HRAS/RPS6KB2/COX8A/PNPLA2/GRB2/COX5A/CYC1/COA4/CREB3L2/UQCR10/MAPK11/PRKG1/NDUFA4L2/ADRB3/SLC25A29/CYTB/ND2/ND5/ND4/ND1/ATP6/COX3/COX20/SDHD/AKT1S1/CPT1B/ND4L/NDUFS3/NDUFAF8/ATP8/ATP5MF/ATP5PO",96
